模型,RMSE,MAE,R2
线性回归 (Linear Regression),9912533.809629766,4273227.053080209,0.6753772984776114
随机森林 (Random Forest),9832514.822597193,3903540.6462207357,0.6805971816308818
梯度提升树 (Gradient Boosting),8460391.15308048,3613958.510761775,0.7635221820996407
