消融场景,说明,特征数_编码前,RMSE,MAE,R2,R2_相对基准变化,RMSE_相对基准升幅_pct
完整特征（基准）,基准：全部特征,15,8460391.15308048,3613958.510761775,0.7635221820996407,0.0,0.0
"剔除 Top-3 特征 (recent_apps, recent_minutes, age)","方案 A：去掉重要性最高的 3 个原始字段 ['recent_apps', 'recent_minutes', 'age']",12,12225539.253087193,5171761.190502356,0.5062062676386865,-0.25731591446095425,44.50323905692941
仅基础信息,方案 B：年龄、身高、位置、惯用脚,4,17609288.666964687,7566818.310860284,-0.024455622010315148,-0.7879778041099559,108.13799679407303
仅生涯/竞技 proxy,方案 B：国家队、最近赛季、近期俱乐部进球/助攻/出场,9,11970813.922310453,5487268.717689946,0.5265687899990192,-0.2369533921006215,41.49244054693389
仅近期俱乐部表现,方案 B：仅 appearances 聚合的进球/助攻/出场时间,6,13471320.584755484,6056820.627220327,0.4004438429815439,-0.36307833911809684,59.22810589969583
仅市场/背景,方案 B：国籍、所属联赛,2,17634503.667924136,7255804.379786399,-0.02739158885614601,-0.7909137709557867,108.43603267093987
